corrected,og_name,count,
1 AVENUE,1 AVENUE,1,
101 AVENUE,101 AVENUE,1,
14 AVENUE,14 AVE,1,
21 AVENUE,21 AVE,1,
37 AVENUE,37 AVENUE,1,
4 AVENUE,4 AVE,2,
46 ST,46 ST6 AVENUE,1,
5 AVENUE,5 AVE,2,
FLATLANDS 3 ST,52 FLATLAND 3 ST,1,
53 AVENUE,53 AVENUE,1,
53 ST,53 ROAD ST,1,
55 ST,55 ST2B,1,
57 PL,57 PL,1,
59 PL,59 PL,1,
60 PL,60 PL,1,
95 AVENUE,95 AVENUE,8,
ALBANY AVENUE,ABANY AVENUE,1,
ADELPHI ST,ADELPHI AVENUE,2,
ADELPHI ST,ADELPI ST,1,
ADELPHI ST,ADEPHI,1,
AINSLIE ST,AINCLIE ST,1,
AINSLIE ST,AINLIE ST,1,
AINSLIE ST,AINSILE ST,3,
AINSLIE ST,AINSLE ST,7,
AINSLIE ST,AINSLEY ST,1,
AINSLIE ST,AINSLIE AVENUE,1,
AINSLIE ST,AINSLIEN ST,1,
AINSLIE ST,AINSLIO ST,1,
AITKEN PL,AITKEN PL,2,
ALBANY AVENUE,ALBANY AVE,1,
ALBEMARLE TERRACE,ALBEMARLE TER,1,
AMHERST ST,AMHERSTAVENUE,1,
ANGELA DRIVE,ANGELA DRIVE,4,
APOLLO ST,APOLLO STREET,1,
ARDSLEY LOOP,ARDSLEY LOOP (A5),1,
ARDSLEY LOOP,ARDSLEY LOOP BUILDING A3,1,
ARDSLEY LOOP,ARDSLEY LOOPE,1,
ARGLYE ROAD,ARGIVLE ROAD,1,
ARGLYE ROAD,ARGLE ROAD,4,
ARGLYE ROAD,ARGLYE ROAD,3,
ARGLYE ROAD,ARGULE ROAD,1,
ARGLYE ROAD,ARGYEL ROAD,1,
ARGLYE ROAD,ARGYL ROAD,1,
ARGLYE ROAD,ARGYLIS ROAD,1,
ARGLYE ROAD,ARGYTE ROAD,1,
ASH ST,ASH ST,2,
ATKINS AVENUE,ATKIN AVENUE,2,
ATKINS AVENUE,ATKINS ST,3,
ATLANTIC AVENUE,ATLANTIC AVE,3,
AVENUE K,AVE K,1,
AVENUE W,AVENU W,1,
AVIATION ROAD,AVIATION ROAD,5,
BAINBRIDGE ST,BAINBEIDGE ST,1,
BAINBRIDGE ST,BAINBRDGE ST,1,
BAINBRIDGE ST,BAINBRIDE ST,1,
BAINBRIDGE ST,BAMBRIDGE ST,2,
BANNER 3 ROAD,BANNER 3 ROAD,8,
BANNER 3 TERRACE,BANNER 3 TERRACE,8,
BARLOW DRIVE N,BARLOW DRIVE,3,
BAUGHMAN PL,BAUSHMAN PL,1,
BAY 22 ST,BAY 22,1,
BAY 52 ST,BAY 52 ST,8,
BAY ST,BAY ST,2,
BAY RIDGE PL,BAYRIDGE PL,2,
BEACH 38 ST,BEACH 38 ST,1,
BEACH 40 ST,BEACH 40 ST,3,
BEACH 42 ST,BEACH 42 ST,5,
BEACH 44 ST,BEACH 44 ST,6,
BEACH 48 ST,BEACH 48 ST,6,
BEACH 50 ST,BEACH 50 ST,2,
,BEACH RESERVATION,1,
BEDFORD AVENUE,BEDFORD AVE,4,
BEDFORD PL,BEDFORD PL,7,
BEEKMAN PL,BEEKMAN ST,1,
BEEKMAN PL,BEELMAN PL,1,
BELL SLIP,BELL SLIP ST,1,
BENNETT COURT,BENNET COURT,1,
BENNETT COURT,BENNETT COURT,4,
BERGEN AVENUE,BERGEN AVE,1,
BERGEN BEACH PL,BERGEN BEACH,1,
BERGEN COURT,BERGEN CV,4,
BERKELEY PL,BERKLEY PL,7,
BIJOU AVENUE,BIJOU AVENUE,1,
BROOKLYN AVENUE,BKLYN AVENUE,3,
BLAKE AVENUE,BLAKE AVE,1,
BOULEVARD COURT,BLVD COURT,2,
BOKEE COURT,BOKEE ST,1,
BOND ST,BOND STT,1,
BOND ST,BONDS,2,
BOND ST,BONDS ST,1,
BRIDGE PARK DRIVE,BRIDGE PARK DR,5,
BRIGHTON 1 COURT,BRIGHTON 1 COURT,7,
BRIGHTON 1 LANE,BRIGHTON 1 LANE,6,
BRIGHTON 1 WALK,BRIGHTON 1 WALK,9,
BRIGHTON 2 LANE,BRIGHTON 2 LANE,6,
BRIGHTON 2 WALK,BRIGHTON 2 WALK,3,
BRIGHTON 3 COURT,BRIGHTON 3 COURT,3,
BRIGHTON 3 LANE,BRIGHTON 3 LANE,5,
BRIGHTON 3 PL,BRIGHTON 3 PL,2,
BRIGHTON 3 ROAD,BRIGHTON 3 ROAD,7,
BRIGHTON 3 WALK,BRIGHTON 3 WALK,2,
BRIGHTON 4 COURT,BRIGHTON 4 COURT,8,
BRIGHTON 4 LANE,BRIGHTON 4 LANE,2,
BRIGHTON 4 PL,BRIGHTON 4 PL,1,
BRIGHTON 4 TERRACE,BRIGHTON 4 TER,1,
BRIGHTON 5 COURT,BRIGHTON 5 COURT,8,
BRIGHTON 5 LANE,BRIGHTON 5 LANE,3,
BRIGHTON 5 PL,BRIGHTON 5 PL,5,
BRIGHTON 5 WALK,BRIGHTON 5 WALK,7,
BRIGHTON 6 COURT,BRIGHTON 6 COURT,1,
BRIGHTON 7 COURT,BRIGHTON 7 COURT,6,
BRIGHTON 7 LANE,BRIGHTON 7 LANE,1,
BRIGHTON 7 WALK,BRIGHTON 7 WALK,4,
BRIGHTON 8 COURT,BRIGHTON 8 COURT,9,
BRIGHTON BEACH AVENUE,BRIGHTON BEACH,1,
BRIGHTWATER CT,BRIGHTWATR COURT,1,
,BROOKLYN BRIDGE PARK,1,
BUFFALO AVENUE,BUFFALO AVE,1,
BUSHWICK AVENUE,BUSHWICK AVE,4,
CADMAN PLAZA EAST,CADMAN PLAZA EAST,9,
CANDA AVENUE,CANDA AVENUE,5,
CATHEDRAL PL,CATHEDRAL PL,2,
CATHERINE FAGAN ST,CATHERINE FAGAN ST,1,
CELEST COURT,CELESTCOURT,2,
CENTRAL AVENUE,CENTRAL AVE,1,
CENTRE ST,CENTRE ST,6,
CHAPEL ST,CHAPEL ST,4,
CHESTER AVENUE,CHESTR AVE,1,
CHRISTPHER AVENUE,CHRISTPHR AVENUE,1,
,CITY PT,3,
CLARKSON AVENUE,CLARKSON AVE,2,
CLASSON AVENUE,CLASSON AVE,1,
CLEAR WATER ROAD,CLEAR WATER ROAD,1,
CLERMONT AVENUE,CLERMONT AVE,2,
CLINTON AVENUE,CLINTON AVE,4,
CLYMER ST,CLYMEO ST,1,
COLES ST,COLES ST,8,
COLIN PL,COLIN PL,8,
COLONIAL COURT,COLONIAL COURT,7,
CONDUIT BLVD,CONDUIT AVENUE,1,
CONDUIT BLVD,CONDUIT BLVD,5,
CONWAY ST,CONWAY ST,1,
COOKE COURT,COOKE COURT,1,
COOPER ST,COOPER AVENUE,5,
CORBIN COURT,CORBIN COURT,6,
CORTELYOU ROAD,CORTELYOU,1,
COZINE AVENUE,COZEN AVENUE,1,
COZINE AVENUE,COZINE AVEUNE,1,
COZINE AVENUE,COZINE ST,2,
CRYSTAL AVENUE,CRYSTL AVENUE,1,
CYRUS AVENUE,CRYUS AVENUE,1,
AVENUE D,D AVENUE,1,
DAHLGREN PL,DAHLGREEN PL,4,
DAKOTA PL,DAKOTA PL,1,
,DARBEY ST,1,
DECATUR AVENUE,DECATUR AVENUE,1,
DEKALB AVENUE,DEKALB AVE,3,
DENTON PL,DENTON PL,8,
DICTUM COURT,DICTUM ST,1,
DRIGGS AVENUE,DIGGS AVENUE,1,
DIKEMAN ST,DIKEMEN ST,1,
DITMAS AVENUE,DITMARS AVENUE,1,
DIVISION PL,DIVISION PL,4,
DORCHESTER ROAD,DORCHESTR,1,
DOSCHER ST,DOSHER ST,2,
DOUBLEDAY LANE,DOUBLE DAY LANE,1,
DOUGHTY ST,DOUGHTY ST,2,
